id:ID,name,:LABEL
1,婴儿湿疹,疾病
2,皮肤屏障功能差,病因
3,接触过敏原,病因
4,皮肤过于干燥,病因
5,皮肤瘙痒,症状
6,婴儿哭闹不安,症状
7,影响食欲、睡眠和身体发育,症状
8,搔抓,症状
9,感染,症状
10,粗糙,症状
11,变红,症状
12,遗传因素,病因
13,皮肤屏障,病因
14,免疫因素,病因
15,炎热,病因
16,风吹,病因
17,皮肤红斑,症状
18,丘疱疹,症状
19,水疱,症状
20,渗液,症状
21,鲜红糜烂面,症状
22,脓疱,症状
23,局部淋巴结肿大,症状
24,发热,症状
25,灰白色糠状鳞屑,症状
26,淡红色或暗红色斑片,症状
27,密集小丘疹,症状
28,无水疱,症状
29,皮肤增厚,症状
30,皲裂,症状
31,抓痕,症状
32,结血痂,症状
33,直接根据皮疹的形态,诊断方法
34,病史,诊断方法
35,家族史,诊断方法
36,临床表现,诊断方法
37,全面体检,诊断方法
38,皮肤活检,诊断方法
39,实验室检查,诊断方法
40,组织学检查,诊断方法
41,其他实验室检查（如，血清 IgE、斑贴试验和基因检测）,诊断方法
42,过敏原检查,诊断方法
43,环境管理,治疗
44,药物治疗,治疗
45,生活管理等,治疗
46,开窗通风,治疗
47,24度,治疗
48,40%～50%,治疗
49,贴身衣物穿的柔软,治疗
50,舒适,治疗
51,无刺激,治疗
52,修剪指甲,治疗
53,保湿,治疗
54,涂抹润肤剂,治疗
55,外用抗生素软膏,治疗
56,外用激素乳膏治疗,治疗
57,皮肤科,科室
58,儿科,科室
59,儿童变态反应（过敏反应）科,科室
60,非变应性鼻炎,疾病
61,抗组胺药或鼻用激素治疗,治疗
62,鼻内糖皮质激素联合鼻内抗组胺药治疗,治疗
63,青霉素类或头孢类,治疗
64,病毒感染,病因
65,细菌感染,病因
66,真菌感染,病因
67,过敏原,病因
68,刺激性气味,病因
69,鼻痒,症状
70,打喷嚏,症状
71,流清涕,症状
72,鼻塞,症状
73,眼痒,症状
74,咽痒,症状
75,咳嗽,症状
76,低热,症状
77,鼻内镜检查,诊断方法
78,血清总 IgE、特异性 IgE 和皮肤点刺试验,诊断方法
79,病原学检查,诊断方法
80,冷和热皮肤温度反射,诊断方法
81,红外光反射,诊断方法
82,呼吸急促,症状
83,胸闷,症状
84,耳鼻喉科,科室
85,过敏反应专科,科室
86,变应性鼻炎 ：予以抗组胺药物、鼻喷糖皮质激素治疗,治疗
87,白三烯受体拮抗剂治疗,治疗
88,非变应性鼻炎 ：建议鼻内糖皮质激素（INGC）联合鼻内抗组胺药,治疗
89,含糖皮质激素,治疗
90,胺药物的复合喷雾,治疗
91,充分口服补液,治疗
92,按需退热、 生理盐水洗鼻（视频） / 喷鼻（视频）,治疗
93,感染性鼻炎,疾病
94,变应性鼻炎,疾病
95,新生儿黄疸,疾病
96,胆红素生成过多,病因
97,肠肝循环增加,病因
98,血清总胆红素值（TSB）,诊断方法
99,经皮胆红素值（TcB）,诊断方法
100,光照疗法,治疗
101,换血治疗,治疗
102,酶诱导剂,治疗
103,静注免疫球蛋白,治疗
104,益生菌,治疗
105,苯巴比妥,治疗
106,白蛋白,治疗
107,双歧杆菌三联活菌散,治疗
108,枯草杆菌二联活菌颗粒,治疗
109,益生菌（双歧杆菌,治疗
110,智能和运动方面的康复治疗,治疗
111,小儿腹泻,疾病
112,饥饿或过度喂养,病因
113,饮食不卫生,病因
114,食物过敏,病因
115,乳糖不耐受,病因
116,病菌或病毒感染,病因
